# T(K)   M(T)
    1.000000    0.998400
    1.050000    0.998400
    1.100000    0.998400
    1.150000    0.998400
    1.200000    0.997600
    1.250000    0.992800
    1.300000    0.992800
    1.350000    0.990400
    1.400000    0.987200
    1.450000    0.989600
    1.500000    0.982400
    1.550000    0.979200
    1.600000    0.974400
    1.650000    0.955200
    1.700000    0.969600
    1.750000    0.943200
    1.800000    0.964800
    1.850000    0.943200
    1.900000    0.926400
    1.950000    0.932000
    2.000000    0.927200
    2.050000    0.876800
    2.100000    0.808800
    2.150000    0.836000
    2.200000    0.745600
    2.250000    0.759200
    2.300000    0.400800
    2.350000    0.237600
    2.400000    0.144000
    2.450000    0.212000
    2.500000    0.156000
    2.550000   -0.029600
    2.600000    0.012000
    2.650000   -0.054400
    2.700000   -0.100000
    2.750000   -0.011200
    2.800000   -0.080800
    2.850000    0.004000
    2.900000   -0.010400
    2.950000    0.145600
    3.000000    0.036000
    3.050000   -0.024800
    3.100000   -0.039200
    3.150000    0.048000
    3.200000    0.020800
    3.250000    0.036800
    3.300000    0.123200
    3.350000   -0.003200
    3.400000    0.115200
    3.450000   -0.033600
    3.500000   -0.036000
    3.550000    0.031200
    3.600000   -0.028000
    3.650000   -0.030400
    3.700000   -0.050400
    3.750000   -0.014400
    3.800000    0.088800
    3.850000   -0.032000
    3.900000    0.016000
    3.950000    0.039200
    4.000000   -0.001600
