 # H    M
 -3.0000   -0.993148
 -2.9000   -0.992439
 -2.8000   -0.991720
 -2.7000   -0.990876
 -2.6000   -0.989917
 -2.5000   -0.988950
 -2.4000   -0.987842
 -2.3000   -0.986607
 -2.2000   -0.985271
 -2.1000   -0.983909
 -2.0000   -0.982159
 -1.9000   -0.980333
 -1.8000   -0.978372
 -1.7000   -0.976072
 -1.6000   -0.973490
 -1.5000   -0.970751
 -1.4000   -0.967619
 -1.3000   -0.964097
 -1.2000   -0.960009
 -1.1000   -0.955146
 -1.0000   -0.949463
 -0.9000   -0.943118
 -0.8000   -0.935625
 -0.7000   -0.926927
 -0.6000   -0.915573
 -0.5000   -0.900875
 -0.4000   -0.882716
 -0.3000   -0.856705
 -0.2000   -0.813601
 -0.1000   -0.724865
  0.0000   -0.025253
  0.1000    0.724026
  0.2000    0.812961
  0.3000    0.855947
  0.4000    0.882183
  0.5000    0.901493
  0.6000    0.915711
  0.7000    0.926463
  0.8000    0.935262
  0.9000    0.943274
  1.0000    0.949662
  1.1000    0.955119
  1.2000    0.959736
  1.3000    0.963924
  1.4000    0.967707
  1.5000    0.970693
  1.6000    0.973658
  1.7000    0.976141
  1.8000    0.978351
  1.9000    0.980395
  2.0000    0.982273
  2.1000    0.983827
  2.2000    0.985296
  2.3000    0.986623
  2.4000    0.987829
  2.5000    0.988946
  2.6000    0.990039
  2.7000    0.990883
  2.8000    0.991682
  2.9000    0.992483
  3.0000    0.993203
  2.9000    0.992478
  2.8000    0.991732
  2.7000    0.990930
  2.6000    0.989927
  2.5000    0.988874
  2.4000    0.987926
  2.3000    0.986680
  2.2000    0.985374
  2.1000    0.983785
  2.0000    0.982217
  1.9000    0.980380
  1.8000    0.978354
  1.7000    0.976116
  1.6000    0.973724
  1.5000    0.970803
  1.4000    0.967660
  1.3000    0.963954
  1.2000    0.959917
  1.1000    0.955211
  1.0000    0.949610
  0.9000    0.943620
  0.8000    0.935696
  0.7000    0.926504
  0.6000    0.915786
  0.5000    0.901734
  0.4000    0.882705
  0.3000    0.856578
  0.2000    0.814453
  0.1000    0.725224
  0.0000    0.004724
 -0.1000   -0.722468
 -0.2000   -0.813817
 -0.3000   -0.856367
 -0.4000   -0.882293
 -0.5000   -0.901221
 -0.6000   -0.915413
 -0.7000   -0.926738
 -0.8000   -0.935935
 -0.9000   -0.943434
 -1.0000   -0.949596
 -1.1000   -0.955277
 -1.2000   -0.959855
 -1.3000   -0.963855
 -1.4000   -0.967516
 -1.5000   -0.970833
 -1.6000   -0.973469
 -1.7000   -0.975961
 -1.8000   -0.978428
 -1.9000   -0.980473
 -2.0000   -0.982278
 -2.1000   -0.983757
 -2.2000   -0.985334
 -2.3000   -0.986640
 -2.4000   -0.987863
 -2.5000   -0.988922
 -2.6000   -0.989928
 -2.7000   -0.990796
 -2.8000   -0.991655
 -2.9000   -0.992456
 -3.0000   -0.993201
