 # H    M
 -3.0000   -1.000819
 -2.9000   -1.000796
 -2.8000   -1.000773
 -2.7000   -1.000736
 -2.6000   -1.000698
 -2.5000   -1.000650
 -2.4000   -1.000587
 -2.3000   -1.000556
 -2.2000   -1.000452
 -2.1000   -1.000395
 -2.0000   -1.000301
 -1.9000   -1.000206
 -1.8000   -1.000095
 -1.7000   -0.999968
 -1.6000   -0.999791
 -1.5000   -0.999661
 -1.4000   -0.999458
 -1.3000   -0.999186
 -1.2000   -0.998911
 -1.1000   -0.998639
 -1.0000   -0.998243
 -0.9000   -0.997840
 -0.8000   -0.997321
 -0.7000   -0.996783
 -0.6000   -0.996096
 -0.5000   -0.995263
 -0.4000   -0.994260
 -0.3000   -0.993122
 -0.2000   -0.991608
 -0.1000   -0.989863
  0.0000   -0.987420
  0.1000   -0.984247
  0.2000    0.038077
  0.3000    0.993122
  0.4000    0.994326
  0.5000    0.995285
  0.6000    0.996045
  0.7000    0.996737
  0.8000    0.997313
  0.9000    0.997851
  1.0000    0.998255
  1.1000    0.998641
  1.2000    0.998935
  1.3000    0.999203
  1.4000    0.999428
  1.5000    0.999676
  1.6000    0.999828
  1.7000    0.999967
  1.8000    1.000132
  1.9000    1.000194
  2.0000    1.000312
  2.1000    1.000398
  2.2000    1.000481
  2.3000    1.000547
  2.4000    1.000589
  2.5000    1.000654
  2.6000    1.000704
  2.7000    1.000738
  2.8000    1.000762
  2.9000    1.000809
  3.0000    1.000840
  2.9000    1.000789
  2.8000    1.000775
  2.7000    1.000725
  2.6000    1.000689
  2.5000    1.000667
  2.4000    1.000605
  2.3000    1.000541
  2.2000    1.000469
  2.1000    1.000398
  2.0000    1.000342
  1.9000    1.000220
  1.8000    1.000125
  1.7000    0.999967
  1.6000    0.999805
  1.5000    0.999634
  1.4000    0.999414
  1.3000    0.999232
  1.2000    0.998992
  1.1000    0.998681
  1.0000    0.998273
  0.9000    0.997876
  0.8000    0.997337
  0.7000    0.996827
  0.6000    0.996131
  0.5000    0.995240
  0.4000    0.994248
  0.3000    0.993079
  0.2000    0.991708
  0.1000    0.989878
  0.0000    0.987535
 -0.1000    0.984306
 -0.2000   -0.676014
 -0.3000   -0.993116
 -0.4000   -0.994281
 -0.5000   -0.995285
 -0.6000   -0.996121
 -0.7000   -0.996840
 -0.8000   -0.997337
 -0.9000   -0.997786
 -1.0000   -0.998280
 -1.1000   -0.998634
 -1.2000   -0.998969
 -1.3000   -0.999217
 -1.4000   -0.999471
 -1.5000   -0.999627
 -1.6000   -0.999809
 -1.7000   -0.999966
 -1.8000   -1.000110
 -1.9000   -1.000223
 -2.0000   -1.000318
 -2.1000   -1.000395
 -2.2000   -1.000470
 -2.3000   -1.000556
 -2.4000   -1.000620
 -2.5000   -1.000647
 -2.6000   -1.000677
 -2.7000   -1.000727
 -2.8000   -1.000763
 -2.9000   -1.000793
 -3.0000   -1.000821
