 # H    M
 -3.0000   -0.980204
 -2.9000   -0.978574
 -2.8000   -0.976930
 -2.7000   -0.974933
 -2.6000   -0.972841
 -2.5000   -0.970515
 -2.4000   -0.967961
 -2.3000   -0.965410
 -2.2000   -0.962330
 -2.1000   -0.959408
 -2.0000   -0.955772
 -1.9000   -0.951799
 -1.8000   -0.947519
 -1.7000   -0.942582
 -1.6000   -0.937125
 -1.5000   -0.931192
 -1.4000   -0.924263
 -1.3000   -0.916329
 -1.2000   -0.907331
 -1.1000   -0.896888
 -1.0000   -0.884969
 -0.9000   -0.870827
 -0.8000   -0.853281
 -0.7000   -0.832607
 -0.6000   -0.805677
 -0.5000   -0.770814
 -0.4000   -0.724208
 -0.3000   -0.654138
 -0.2000   -0.541007
 -0.1000   -0.341476
  0.0000    0.001356
  0.1000    0.340404
  0.2000    0.540971
  0.3000    0.654332
  0.4000    0.723817
  0.5000    0.771607
  0.6000    0.806122
  0.7000    0.832821
  0.8000    0.853547
  0.9000    0.870769
  1.0000    0.884904
  1.1000    0.897365
  1.2000    0.907666
  1.3000    0.916447
  1.4000    0.923951
  1.5000    0.931027
  1.6000    0.937330
  1.7000    0.942346
  1.8000    0.947561
  1.9000    0.951720
  2.0000    0.955542
  2.1000    0.959247
  2.2000    0.962385
  2.3000    0.965428
  2.4000    0.968019
  2.5000    0.970677
  2.6000    0.973021
  2.7000    0.974862
  2.8000    0.976938
  2.9000    0.978447
  3.0000    0.980226
  2.9000    0.978543
  2.8000    0.976766
  2.7000    0.974876
  2.6000    0.972932
  2.5000    0.970468
  2.4000    0.968052
  2.3000    0.965588
  2.2000    0.962465
  2.1000    0.959331
  2.0000    0.955691
  1.9000    0.951815
  1.8000    0.947400
  1.7000    0.942702
  1.6000    0.937268
  1.5000    0.931113
  1.4000    0.924352
  1.3000    0.916589
  1.2000    0.907163
  1.1000    0.896930
  1.0000    0.885333
  0.9000    0.870552
  0.8000    0.853637
  0.7000    0.832754
  0.6000    0.806402
  0.5000    0.771498
  0.4000    0.724698
  0.3000    0.655863
  0.2000    0.541098
  0.1000    0.342065
  0.0000    0.003091
 -0.1000   -0.338321
 -0.2000   -0.541556
 -0.3000   -0.653379
 -0.4000   -0.724322
 -0.5000   -0.771615
 -0.6000   -0.806573
 -0.7000   -0.831984
 -0.8000   -0.853811
 -0.9000   -0.870378
 -1.0000   -0.885346
 -1.1000   -0.897012
 -1.2000   -0.907232
 -1.3000   -0.916269
 -1.4000   -0.923966
 -1.5000   -0.930927
 -1.6000   -0.937115
 -1.7000   -0.942457
 -1.8000   -0.947266
 -1.9000   -0.951861
 -2.0000   -0.955849
 -2.1000   -0.959142
 -2.2000   -0.962470
 -2.3000   -0.965660
 -2.4000   -0.968076
 -2.5000   -0.970491
 -2.6000   -0.972847
 -2.7000   -0.974882
 -2.8000   -0.976799
 -2.9000   -0.978496
 -3.0000   -0.980257
