# T(K)   M(T)
    1.000000    1.000000
    1.100000    0.998400
    1.200000    0.996800
    1.300000    0.999200
    1.400000    0.995200
    1.500000    0.984800
    1.600000    0.975200
    1.700000    0.975200
    1.800000    0.927200
    1.900000    0.936000
    2.000000    0.877600
    2.100000    0.868000
    2.200000    0.852000
    2.300000    0.525600
    2.400000   -0.260000
    2.500000    0.072800
    2.600000    0.075200
    2.700000   -0.094400
    2.800000    0.024000
    2.900000    0.073600
    3.000000   -0.009600
    3.100000    0.108800
    3.200000    0.088000
    3.300000    0.081600
    3.400000   -0.076000
    3.500000    0.024000
    3.600000   -0.056800
    3.700000    0.148000
    3.800000   -0.070400
    3.900000   -0.040000
    4.000000   -0.104000
