# T(K)   M(T)
    1.000000    0.999400
    1.100000    0.998600
    1.200000    0.997600
    1.300000    0.993000
    1.400000    0.987400
    1.500000    0.988400
    1.600000    0.978800
    1.700000    0.972000
    1.800000    0.952800
    1.900000    0.931000
    2.000000    0.905000
    2.100000    0.883000
    2.200000    0.770000
    2.300000    0.569600
    2.400000    0.201800
    2.500000    0.014000
    2.600000   -0.023600
    2.700000   -0.004400
    2.800000   -0.103400
    2.900000   -0.029200
    3.000000    0.004800
    3.100000   -0.014200
    3.200000    0.003600
    3.300000    0.053200
    3.400000    0.016400
    3.500000    0.060200
    3.600000    0.049200
    3.700000   -0.024600
    3.800000    0.017000
    3.900000    0.010000
    4.000000    0.014000
