# T(K)   M(T)
    1.000000    0.998200
    1.100000    0.997600
    1.200000    0.998200
    1.300000    0.995200
    1.400000    0.992000
    1.500000    0.986200
    1.600000    0.978600
    1.700000    0.968800
    1.800000    0.957000
    1.900000    0.932200
    2.000000    0.895000
    2.100000    0.867800
    2.200000    0.696600
    2.300000    0.185600
    2.400000    0.092200
    2.500000    0.020600
    2.600000    0.072600
    2.700000    0.059200
    2.800000    0.096400
    2.900000    0.041600
    3.000000   -0.032200
    3.100000   -0.010200
    3.200000   -0.009600
    3.300000   -0.008400
    3.400000   -0.044000
    3.500000    0.035400
    3.600000    0.029800
    3.700000    0.022200
    3.800000    0.012000
    3.900000    0.007600
    4.000000   -0.043400
