# T(K)   M(T)
    1.000000    0.998400
    1.100000    0.999200
    1.200000    0.996800
    1.300000    0.992800
    1.400000    0.991200
    1.500000    0.976000
    1.600000    0.976000
    1.700000    0.959200
    1.800000    0.948000
    1.900000    0.921600
    2.000000    0.857600
    2.100000    0.794400
    2.200000    0.800000
    2.300000    0.557600
    2.400000    0.038400
    2.500000   -0.102400
    2.600000    0.068000
    2.700000    0.120800
    2.800000   -0.030400
    2.900000   -0.006400
    3.000000    0.063200
    3.100000    0.038400
    3.200000   -0.068800
    3.300000   -0.115200
    3.400000    0.000000
    3.500000    0.027200
    3.600000    0.138400
    3.700000    0.034400
    3.800000    0.000800
    3.900000   -0.003200
    4.000000    0.060000
