# T(K)   M(T)
    1.000000    0.999600
    1.100000    0.998800
    1.200000    0.996800
    1.300000    0.995200
    1.400000    0.992000
    1.500000    0.982600
    1.600000    0.982200
    1.700000    0.970800
    1.800000    0.948200
    1.900000    0.930000
    2.000000    0.902000
    2.100000    0.758600
    2.200000    0.794800
    2.300000    0.527000
    2.400000   -0.021200
    2.500000   -0.025200
    2.600000   -0.056000
    2.700000   -0.063000
    2.800000    0.007000
    2.900000   -0.003200
    3.000000   -0.020600
    3.100000   -0.045600
    3.200000    0.034400
    3.300000   -0.055400
    3.400000   -0.060400
    3.500000   -0.012800
    3.600000   -0.033200
    3.700000   -0.014400
    3.800000   -0.002400
    3.900000    0.007600
    4.000000   -0.018200
