# T(K)   M(T)
    1.000000    1.000000
    1.100000    0.997778
    1.200000    0.995556
    1.300000    0.993333
    1.400000    0.993333
    1.500000    0.973333
    1.600000    0.984444
    1.700000    0.966667
    1.800000    0.935556
    1.900000    0.935556
    2.000000    0.766667
    2.100000    0.857778
    2.200000    0.784444
    2.300000    0.644444
    2.400000    0.173333
    2.500000   -0.104444
    2.600000   -0.164444
    2.700000    0.062222
    2.800000   -0.111111
    2.900000   -0.100000
    3.000000   -0.293333
    3.100000    0.011111
    3.200000    0.044444
    3.300000    0.140000
    3.400000    0.040000
    3.500000    0.177778
    3.600000    0.217778
    3.700000   -0.033333
    3.800000    0.095556
    3.900000   -0.113333
    4.000000   -0.060000
